batter,total_runs,total_balls,dismissals,matches_played_x,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,matches_played_y,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score
R Parag,1017.0,778.0,44.0,54.0,23.113636363636363,130.719794344473,3.0,179.0,16.0,14.0,11.1875,59.666666666666664,32.0,0.21428571428571427,14.988764063699797
0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,1831.0,238.0,62.0,7.69327731092437,19.688172043010752,15.35483870967742,1.5,14.61344537815126
0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,552.0,73.0,20.0,7.561643835616438,19.03448275862069,15.10344827586207,1.45,13.876712328767123
0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,690.0,90.0,27.0,7.666666666666667,17.692307692307693,13.846153846153847,1.4444444444444444,13.555555555555555
0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,2259.0,293.0,77.0,7.709897610921502,20.35135135135135,15.837837837837839,1.4415584415584415,13.411373609325828
0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,456.0,46.0,14.0,9.91304347826087,19.82608695652174,12.0,1.6428571428571428,13.031055900621116
0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,571.0,65.0,17.0,8.784615384615385,21.96153846153846,15.0,1.5294117647058822,13.019004524886874
0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,283.0,35.0,11.0,8.085714285714285,17.6875,13.125,1.4545454545454546,12.919480519480523
0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,138.0,17.0,5.0,8.117647058823529,19.714285714285715,14.571428571428571,1.4,11.764705882352942
0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,813.0,105.0,28.0,7.742857142857143,21.394736842105264,16.57894736842105,1.3571428571428572,11.65714285714286
0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,741.0,92.0,26.0,8.054347826086957,20.583333333333332,15.333333333333334,1.3846153846153846,11.58361204013378
0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1656.0,197.0,54.0,8.406091370558375,21.789473684210527,15.552631578947368,1.4074074074074074,11.335965407031399
0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,231.0,28.0,8.0,8.25,21.0,15.272727272727273,1.375,11.0
0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1114.0,131.0,36.0,8.50381679389313,22.28,15.72,1.3888888888888888,10.77014418999152
0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,373.0,42.0,12.0,8.880952380952381,21.941176470588236,14.823529411764707,1.4166666666666667,10.571428571428573
0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,694.0,69.0,21.0,10.057971014492754,21.6875,12.9375,1.5238095238095237,10.360248447204967
0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1791.0,211.0,55.0,8.488151658767773,24.2027027027027,17.10810810810811,1.3454545454545455,9.932787591555364
0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1523.0,178.0,46.0,8.5561797752809,24.56451612903226,17.225806451612904,1.3478260869565217,9.844162188568635
0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1890.0,224.0,63.0,8.4375,22.5,16.0,1.3333333333333333,9.791666666666664
0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,595.0,68.0,20.0,8.75,22.037037037037038,15.11111111111111,1.35,9.5
0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1969.0,266.0,70.0,7.402255639097745,23.16470588235294,18.776470588235295,1.2142857142857142,9.481203007518795
0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1031.0,128.0,33.0,8.0546875,24.547619047619047,18.285714285714285,1.2727272727272727,9.345170454545453
0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,406.0,42.0,12.0,9.666666666666666,23.88235294117647,14.823529411764707,1.4166666666666667,9.000000000000004
0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,663.0,68.0,19.0,9.75,24.555555555555557,15.11111111111111,1.4210526315789473,8.921052631578945
0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1525.0,180.0,48.0,8.472222222222221,25.0,17.704918032786885,1.2708333333333333,8.472222222222221
0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,652.0,87.0,24.0,7.494252873563219,23.285714285714285,18.642857142857142,1.1666666666666667,8.344827586206899
0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1020.0,121.0,35.0,8.429752066115702,23.181818181818183,16.5,1.2571428571428571,8.283353010625738
0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1223.0,134.0,37.0,9.126865671641792,24.959183673469386,16.408163265306122,1.3243243243243243,8.232755143202905
0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,230.0,26.0,7.0,8.846153846153847,25.555555555555557,17.333333333333332,1.2857142857142858,8.021978021978022
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.0,15.0,4.0,6.0,22.5,22.5,1.0,8.0
0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,318.0,34.0,10.0,9.352941176470589,24.46153846153846,15.692307692307692,1.3,7.2941176470588225
0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,10.0,5.0,4.4,11.0,15.0,0.8,7.199999999999999
0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,348.0,45.0,15.0,7.733333333333333,20.470588235294116,15.882352941176471,1.1333333333333333,7.1999999999999975
0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,663.0,81.0,23.0,8.185185185185185,24.555555555555557,18.0,1.173913043478261,7.107890499194848
0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,198.0,25.0,7.0,7.92,24.75,18.75,1.1428571428571428,7.017142857142854
0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,604.0,80.0,20.0,7.55,27.454545454545453,21.818181818181817,1.1,6.9
0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,95.0,11.0,5.0,8.636363636363637,15.833333333333334,11.0,1.2,6.727272727272727
0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,645.0,81.0,23.0,7.962962962962963,24.807692307692307,18.692307692307693,1.1304347826086956,6.682769726247985
0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,533.0,63.0,17.0,8.46031746031746,26.65,18.9,1.1764705882352942,6.608776844070963
0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,324.0,37.0,10.0,8.756756756756756,27.0,18.5,1.2,6.486486486486488
0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,572.0,67.0,18.0,8.537313432835822,27.238095238095237,19.142857142857142,1.1666666666666667,6.258706467661693
0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,331.0,38.0,11.0,8.710526315789474,25.46153846153846,17.53846153846154,1.1818181818181819,6.215311004784688
0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,732.0,83.0,26.0,8.819277108433734,23.612903225806452,16.06451612903226,1.1923076923076923,6.207599629286378
0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,372.0,43.0,12.0,8.651162790697674,26.571428571428573,18.428571428571427,1.1666666666666667,6.031007751937988
0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1450.0,184.0,48.0,7.880434782608695,28.431372549019606,21.647058823529413,1.0625,5.489130434782609
0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1035.0,127.0,34.0,8.149606299212598,27.972972972972972,20.594594594594593,1.088235294117647,5.465493283927742
0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,367.0,50.0,13.0,7.34,28.23076923076923,23.076923076923077,1.0,5.32
0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,559.0,67.0,21.0,8.343283582089553,24.304347826086957,17.47826086956522,1.0952380952380953,5.218194740582799
0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,563.0,71.0,19.0,7.929577464788732,28.15,21.3,1.0526315789473684,5.193476649369902
0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,311.0,37.0,10.0,8.405405405405405,28.272727272727273,20.181818181818183,1.1,5.1891891891891895
0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,151.0,15.0,4.0,10.066666666666666,30.2,18.0,1.25,4.866666666666667
0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,285.0,33.0,11.0,8.636363636363637,23.75,16.5,1.0909090909090908,4.545454545454543
0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,432.0,47.0,14.0,9.191489361702128,27.0,17.625,1.1428571428571428,4.474164133738597
